english,polish,alternatives
00databasealphabet,abcdefghijklmnopqrstuvwxyzâèéêï,
00databaseinfo,* created this header,"* very slightly corrected|a
     query for confer)|around 40 additions)|english - polish piotrowski+saloni"
00databaseshort,english - polish piotrowski+saloni,freedict dictionary ver. 0.2
00databaseurl,unknown,
aa,automobilklub,
aaa,amerykański automobilklub,amerykański związek automobilowy
aardvark,mrównik,ˈaːdvaːk
abacus,liczydło,ˈæbəkəs
abandon,1.  zostawiać,əˈbændən
abandonment,"1.  opuszczenie
 2.  zaprzestanie",əˈbændənmənt
abashed,zakłopotany,əˈbæʃt
abate,zelżeć,əˈbeɪt
abattoir,rzeźnia,ˈæbətʊɑ:
abbess,przeorysza,ˈæbɪs
abbey,klasztor,opactwo|ˈæbɪ
abbot,opat,ˈæbət
abbreviate,skracać,əˈbri:vɪeɪt
abbreviated,skrócony,əˈbri:vɪeɪtɪd
abbreviation,skrót,əˌbri:vɪˈeɪʃən
abc,biological,biologiczna|chemiczna|ˈeɪbisi
abdicate,wyrzekać się,ˈæbdɪkeɪt
abdication,"1.  abdykacja
 2.  odrzucenie",ˌæbdɪˈkeɪʃən
abdomen,brzuch,ˈæbdəmən
abdominal,brzuszny,æbˈdɒmɪnəl
abduct,uprowadzać,æbˈdʌkt
abduction,uprowadzenie,æbˈdʌkʃən
aberration,zboczenie,ˌæbəˈreɪʃən
abet,əˈbet,
abhor,nie cierpieć,əbˈhɔ:
abhorrence,nienawiść,əbˈhɒrəns
abhorrent,znienawidzony,əbˈhɒrənt
abide,əˈbaɪd,
abiding,długotrwały,əˈbaɪdɪŋ
ability,1.  zdolność,əˈbɪlɪtɪ
abject,ˈæbʤekt,
ablaze,əˈbleɪz,
able,ˈeɪbəl,
ablebodied,able-bodied,dobrze zbudowany|ˌeɪbəl ˈbɒdɪd
ably,znakomicie,ˈeɪblɪ
abnormal,nienormalny,æbˈnɔ:məl
abnormality,nieprawidłowość,ˌæbnɔ:ˈmælɪtɪ
abnormally,"1.  niezwykle
 2.  nienormalnie",æbˈnɔ:məlɪ
aboard,əˈbɔ:d,
abode,miejsce zamieszkania,əˈbəʊd
abolish,obalić,əˈbɒlɪʃ
abolition,obalenie,ˌæbəˈlɪʃən
abomb,a-bomb,bomba atomowa|ˈeɪbɒm
abominable,əˈbɒmɪnəbəl,
abominably,okropnie,əˈbɒmɪnəblɪ
abort,przerwanie zadania,əˈbɔ:t
abortion,aborcja,poronienie|əˈbɔ:ʃən
abortive,nieskuteczny,əˈbɔ:tɪv
abound,być w obfitości,obfitować|əˈbaʊnd
about,zamierzać coś zrobić,əˈbaʊt
aboutturn,about-turn,əˌbaʊtˈtɜ:n
above,uczciwy,əˈbʌv|əˈbʌv bɔ:d
abrasion,otarcie,əˈbreɪʒən
abrasive,"1.  szorstki
 2.  ścierny",əˈbreɪsɪv
abreast,być na bieżąco,əˈbrest
abridged,skrócony,əˈbrɪʤd
abroad,za granicą,za granicę|əˈbrɔ:d
abrupt,"raptowny
 2.  ostry",əˈbrʌpt
abruptly,"raptownie
 2.  ostro",əˈbrʌptlɪ
abscess,ropień,ˈæbses
abscond,uciec,əbˈskɒnd
absence,"1.  nieobecność
 2.  brak",ˈæbsəns
absent,"1.  nieobecny
 2.  nieuważny",ˈæbsənt
absentee,ktoś nieobecny,nieobecny|osoba nieobecna|ˌæbsənˈti:
absently,nieuważnie,ˈæbsəntlɪ
absentminded,absent-minded,roztargniony|ˌæbsənt ˈmaɪndɪd
absentmindedly,absent-mindedly,przez roztargnienie|ˌæbsənt ˈmaɪndɪdlɪ
absolute,ˈæbsəlu:t,
absolutely,ˈæbsəlu:tlɪ,
absolution,rozgrzeszenie,ˌæbsəˈlu:ʃən
absolve,"1.  rozgrzeszać
 2.  oczyszczać",əbˈzɒlv
absorb,əbˈsɔ:b,
absorbent,wchłaniający,əbˈsɔ:bənt
absorbing,əbˈsɔ:bɪŋ,
absorption,"1.  zainteresowanie
 2.  wchłanianie",əbˈsɔ:pʃən
abstain,wstrzymywać się,əbˈsteɪn
abstemious,wstrzemięźliwy,əbˈsti:mɪəs
abstention,wstrzymanie się,wstrzymanie się od głosu|əbˈstenʃən
abstinence,abstynencja,ˈæbstɪnəns
abstracted,wyobcowany,æbˈstræktɪd
abstraction,"1.  abstrakcja
 2.  wyobcowanie",æbˈstrækʃən
absurd,absurdalny,groteskowy|əbˈsɜ:d
absurdity,absurd,əbˈsɜ:dɪtɪ
abundance,obfitość,əˈbʌndəns
abundant,obfity,əˈbʌndənt
abundantly,"1.  niezwykle
 2.  obficie",əˈbʌndəntlɪ
abusive,obraźliwy,əˈbju:sɪv
abysmal,nędzny,okropny|əˈbɪzməl
abyss,"1.  otchłań
 2.  przepaść",əˈbɪs
ac,prąd zmienny,
academic,naukowiec,ˌækəˈdemɪk
academy,akademia,əˈkædəmɪ
accede,przychylać się,əkˈsi:d
accelerate,przyspieszać,əkˈseləreɪt
acceleration,przyspieszenie,əkˌseləˈreɪʃən
accelerator,əkˈseləreɪtə,
accent,"accent
i.   1.  dialekt",
accentuate,kłaść nacisk na,əkˈsenʧʊeɪt
accept,1.  przyjmować,əkˈsept
acceptable,1.  uznawalny,"akceptowalny
 2.  do przyjęcia|əkˈseptəbəl"
acceptance,əkˈseptəns,
access,ˈækses,
accessible,əkˈsesəbəl,
accession,akcesja,əkˈseʃən
accessory,1.  akcesoria,əkˈsesərɪ
accident,"1.  przypadek
 2.  wypadek",ˈæksɪdənt
accidental,przypadkowy,ˌæksɪˈdentəl
accidentprone,accident-prone,podatny na wypadki|ˈæksɪdəntprəʊn
acclaim,"i.    wychwalać
ii.    aplauz",əˈkleɪm
acclimatize,əˈklaɪmətaɪz,
accolade,uznanie,ˈækəleɪd
accommodate,zakwaterować,əˈkɒmədeɪt
accommodating,uczynny,əˈkɒmədeɪtɪŋ
accommodation,əˌkɒməˈdeɪʃən,
accompaniment,"1.  akompaniament
 2.  dodatek",əˈkʌmpənɪmənt
accompanist,akompaniator,əˈkʌmpənɪst
accompany,"1.  towarzyszyć
 2.  akompaniować",əˈkʌmpənɪ
accomplice,əˈkʌmplɪs,
accomplish,dokonać,əˈkʌmplɪʃ
accomplished,znakomity,əˈkʌmplɪʃt
accomplishment,əˈkʌmplɪʃmənt,
accord,əˈkɔ:d,
accordance,əˈkɔ:dəns,
according to,według,zgodnie z|əˈkɔ:dɪŋ tə
accordingly,odpowiednio,wedle zasługi|əˈkɔ:dɪŋlɪ
accordion,akordeon,əˈkɔ:dɪən
accost,zaczepić,əˈkɒst
account,i.   1.  sprawozdanie,əˈkaʊnt
accountability,odpowiedzialność,əˌkaʊntəˈbɪlɪtɪ
accountable,odpowiedzialny,əˈkaʊntəbəl
accountancy,księgowość,əˈkaʊntənsɪ
accountant,księgowy,əˈkaʊntənt
accredited,"1.  akredytowany 
 2.  uznawany",əˈkredɪtɪd
acct,"acct.
  konto",
accumulate,gromadzić,əˈkju:mjəleɪt
accumulation,"1.  nagromadzenie
 2.  akumulacja",əˌkju:mjəˈleɪʃən
accuracy,"1.  dokładność
 2.  staranność",skrupulatność|ˈækjərəsɪ
accurate,ˈækjərət,
accusation,oskarżenie,ˌækju:ˈzeɪʃən
accuse,əˈkju:z,
accused,oskarżony,əˈkju:zd
accusing,oskarżycielski,əˈkju:zɪŋ
accustom,przyzwyczajać,əˈkʌstəm
accustomed,1.  zwykły,əˈkʌstəmd
ace,eɪs,wyborny
ache,eɪk,
achieve,osiągać,əˈʧi:v
