polish_word,english_word,polish_category,english_category,R_c
można,grrr,action_words,sounds,0.269299
można,meow,action_words,sounds,-0.158797
można,moo,action_words,sounds,-0.245297
można,ouch,action_words,sounds,0.143802
można,vroom,action_words,sounds,-0.160142
można,alligator,action_words,animals,-0.334661
można,animal,action_words,animals,-0.243864
można,ant,action_words,animals,-0.252507
można,bear,action_words,animals,-0.02284
można,bee,action_words,animals,-0.325047
można,bird,action_words,animals,-0.204069
można,bug,action_words,animals,-0.128088
można,bunny,action_words,animals,-0.375585
można,butterfly,action_words,animals,-0.290224
można,cat,action_words,animals,-0.25442
można,chicken,action_words,animals,-0.145627
można,cow,action_words,animals,-0.215497
można,deer,action_words,animals,-0.263687
można,dog,action_words,animals,-0.21682
można,donkey,action_words,animals,-0.283377
można,duck,action_words,animals,-0.154498
można,elephant,action_words,animals,-0.298224
można,fish,action_words,animals,-0.086948
można,frog,action_words,animals,-0.250796
można,giraffe,action_words,animals,-0.277672
można,goose,action_words,animals,-0.203297
można,hen,action_words,animals,-0.222532
można,horse,action_words,animals,-0.210932
można,kitty,action_words,animals,-0.360085
można,lamb,action_words,animals,-0.24288
można,lion,action_words,animals,-0.315531
można,monkey,action_words,animals,-0.294375
można,moose,action_words,animals,-0.347637
można,mouse,action_words,animals,-0.2303
można,owl,action_words,animals,-0.332171
można,penguin,action_words,animals,-0.256014
można,pig,action_words,animals,-0.216281
można,pony,action_words,animals,-0.197865
można,puppy,action_words,animals,-0.141958
można,rooster,action_words,animals,-0.280888
można,sheep,action_words,animals,-0.230763
można,squirrel,action_words,animals,-0.347167
można,teddybear,action_words,animals,-0.392829
można,tiger,action_words,animals,-0.327869
można,turkey,action_words,animals,-0.255831
można,turtle,action_words,animals,-0.289916
można,wolf,action_words,animals,-0.33664
można,zebra,action_words,animals,-0.321212
można,airplane,action_words,vehicles,-0.18765
można,bicycle,action_words,vehicles,-0.251464
można,boat,action_words,vehicles,-0.114336
można,bus,action_words,vehicles,-0.098961
można,car,action_words,vehicles,-0.089167
można,firetruck,action_words,vehicles,-0.300618
można,helicopter,action_words,vehicles,-0.26454
można,motorcycle,action_words,vehicles,-0.270906
można,sled,action_words,vehicles,-0.236082
można,stroller,action_words,vehicles,-0.07613
można,tractor,action_words,vehicles,-0.197295
można,train,action_words,vehicles,0.029649
można,tricycle,action_words,vehicles,-0.271382
można,truck,action_words,vehicles,-0.225017
można,ball,action_words,toys,-0.160365
można,balloon,action_words,toys,-0.266184
można,bat,action_words,toys,-0.19149
można,block,action_words,toys,0.13084
można,book,action_words,toys,0.140475
można,bubbles,action_words,toys,0.002863
można,chalk,action_words,toys,0.017514
można,crayon,action_words,toys,-0.25541
można,doll,action_words,toys,-0.344039
można,game,action_words,toys,0.093248
można,glue,action_words,toys,-0.091828
można,pen,action_words,toys,-0.049843
można,pencil,action_words,toys,-0.145814
można,present,action_words,toys,0.355314
można,puzzle,action_words,toys,-0.138733
można,story,action_words,toys,0.053847
można,toy,action_words,toys,-0.192811
można,apple,action_words,food_drink,-0.205296
można,applesauce,action_words,food_drink,-0.046709
można,banana,action_words,food_drink,-0.221818
można,beans,action_words,food_drink,-0.010594
można,bread,action_words,food_drink,-0.083398
można,butter,action_words,food_drink,-0.153045
można,cake,action_words,food_drink,-0.081591
można,candy,action_words,food_drink,-0.109458
można,carrots,action_words,food_drink,-0.151147
można,cereal,action_words,food_drink,-0.118158
można,cheerios,action_words,food_drink,-0.122336
można,cheese,action_words,food_drink,-0.152224
można,chocolate,action_words,food_drink,-0.148584
można,coffee,action_words,food_drink,0.003318
można,coke,action_words,food_drink,-0.134183
można,cookie,action_words,food_drink,-0.02856
można,corn,action_words,food_drink,-0.196816
można,cracker,action_words,food_drink,-0.17337
można,donut,action_words,food_drink,-0.134219
można,drink,action_words,food_drink,0.272288
można,egg,action_words,food_drink,-0.148926
można,food,action_words,food_drink,0.017671
można,grapes,action_words,food_drink,-0.15929
można,gum,action_words,food_drink,-0.198994
można,hamburger,action_words,food_drink,-0.073794
można,ice,action_words,food_drink,-0.200083
można,jello,action_words,food_drink,-0.104162
można,jelly,action_words,food_drink,-0.164217
można,juice,action_words,food_drink,0.038291
można,lollipop,action_words,food_drink,-0.274676
można,meat,action_words,food_drink,-0.103128
można,melon,action_words,food_drink,-0.254855
można,milk,action_words,food_drink,-0.091854
można,muffin,action_words,food_drink,-0.104418
można,noodles,action_words,food_drink,-0.119249
można,nuts,action_words,food_drink,-0.000624
można,orange,action_words,food_drink,-0.20065
można,pancake,action_words,food_drink,-0.138579
można,peas,action_words,food_drink,-0.169382
można,pickle,action_words,food_drink,-0.131236
można,pizza,action_words,food_drink,-0.055195
można,popcorn,action_words,food_drink,-0.038757
można,popsicle,action_words,food_drink,-0.110874
można,potato,action_words,food_drink,-0.251295
można,pretzel,action_words,food_drink,-0.166149
można,pudding,action_words,food_drink,-0.194289
można,pumpkin,action_words,food_drink,-0.279441
można,raisin,action_words,food_drink,-0.243997
można,salt,action_words,food_drink,-0.020921
można,sandwich,action_words,food_drink,-0.058135
można,sauce,action_words,food_drink,-0.136808
można,soup,action_words,food_drink,-0.08471
można,spaghetti,action_words,food_drink,-0.088409
można,strawberry,action_words,food_drink,-0.25083
można,toast,action_words,food_drink,0.039384
można,tuna,action_words,food_drink,-0.137738
można,vanilla,action_words,food_drink,-0.082702
można,vitamins,action_words,food_drink,0.103476
można,water,action_words,food_drink,-0.02883
można,yogurt,action_words,food_drink,-0.051981
można,beads,action_words,clothing,-0.18975
można,belt,action_words,clothing,-0.23173
można,bib,action_words,clothing,-0.209566
można,boots,action_words,clothing,-0.172186
można,button,action_words,clothing,0.012345
można,coat,action_words,clothing,-0.234172
można,diaper,action_words,clothing,-0.168295
można,dress,action_words,clothing,-0.093542
można,gloves,action_words,clothing,-0.201641
można,hat,action_words,clothing,-0.220075
można,jacket,action_words,clothing,-0.256111
można,jeans,action_words,clothing,-0.149767
można,mittens,action_words,clothing,-0.297556
można,necklace,action_words,clothing,-0.262292
można,pajamas,action_words,clothing,-0.188166
można,pants,action_words,clothing,-0.191176
można,scarf,action_words,clothing,-0.283672
można,shirt,action_words,clothing,-0.232522
można,shoe,action_words,clothing,-0.274776
można,shorts,action_words,clothing,-0.146335
można,slipper,action_words,clothing,-0.405969
można,sneaker,action_words,clothing,-0.237001
można,snowsuit,action_words,clothing,-0.237053
można,sock,action_words,clothing,-0.283563
można,sweater,action_words,clothing,-0.287264
można,tights,action_words,clothing,-0.188077
można,underpants,action_words,clothing,-0.240398
można,zipper,action_words,clothing,-0.333084
można,ankle,action_words,body_parts,-0.271008
można,arm,action_words,body_parts,-0.153236
można,cheek,action_words,body_parts,-0.211809
można,chin,action_words,body_parts,-0.167767
można,ear,action_words,body_parts,-0.152838
można,eye,action_words,body_parts,-0.069012
można,face,action_words,body_parts,0.047581
można,finger,action_words,body_parts,-0.108137
można,foot,action_words,body_parts,-0.149046
można,hair,action_words,body_parts,-0.228428
można,hand,action_words,body_parts,0.055045
można,head,action_words,body_parts,-0.130668
można,knee,action_words,body_parts,-0.220507
można,leg,action_words,body_parts,-0.1939
można,lips,action_words,body_parts,-0.093906
można,mouth,action_words,body_parts,-0.081389
można,nose,action_words,body_parts,-0.217692
można,shoulder,action_words,body_parts,-0.194315
można,toe,action_words,body_parts,-0.185881
można,tongue,action_words,body_parts,-0.187733
można,tooth,action_words,body_parts,-0.252933
można,tummy,action_words,body_parts,-0.117618
można,basket,action_words,household,-0.134398
można,blanket,action_words,household,-0.15091
można,bottle,action_words,household,-0.128171
można,bowl,action_words,household,-0.02098
można,box,action_words,household,-0.114442
można,broom,action_words,household,-0.305276
można,brush,action_words,household,-0.002025
można,bucket,action_words,household,-0.081002
można,camera,action_words,household,-0.196657
można,can,action_words,household,0.742388
można,clock,action_words,household,-0.06769
można,comb,action_words,household,-0.046599
można,cup,action_words,household,-0.301273
można,dish,action_words,household,-0.074646
można,fork,action_words,household,0.034382
można,garbage,action_words,household,0.084056
można,glass,action_words,household,-0.168546
można,glasses,action_words,household,-0.119531
można,hammer,action_words,household,-0.04601
można,jar,action_words,household,-0.046324
można,keys,action_words,household,-0.061583
można,knife,action_words,household,-0.249984
można,lamp,action_words,household,-0.251754
można,light,action_words,household,-0.00169
można,medicine,action_words,household,-0.131095
można,money,action_words,household,0.250741
można,mop,action_words,household,0.037474
można,nail,action_words,household,-0.099401
można,napkin,action_words,household,-0.08658
można,paper,action_words,household,-0.042021
można,penny,action_words,household,-0.127901
można,picture,action_words,household,0.027422
można,pillow,action_words,household,-0.278177
można,plant,action_words,household,-0.130886
można,plate,action_words,household,-0.164935
można,purse,action_words,household,-0.240642
można,radio,action_words,household,-0.048526
można,scissors,action_words,household,-0.247921
można,soap,action_words,household,-0.093802
można,spoon,action_words,household,-0.084256
można,tape,action_words,household,-0.136472
można,telephone,action_words,household,-0.060219
można,toothbrush,action_words,household,-0.183282
można,towel,action_words,household,-0.082857
można,trash,action_words,household,0.055058
można,tray,action_words,household,-0.134211
można,vacuum,action_words,household,-0.017917
można,walker,action_words,household,-0.23682
można,watch,action_words,household,0.618972
można,basement,action_words,furniture_rooms,-0.173117
można,bathroom,action_words,furniture_rooms,-0.153322
można,bathtub,action_words,furniture_rooms,-0.22604
można,bed,action_words,furniture_rooms,-0.103447
można,bedroom,action_words,furniture_rooms,-0.223506
można,bench,action_words,furniture_rooms,-0.010021
można,chair,action_words,furniture_rooms,-0.16997
można,closet,action_words,furniture_rooms,-0.190833
można,couch,action_words,furniture_rooms,-0.11063
można,crib,action_words,furniture_rooms,-0.186889
można,door,action_words,furniture_rooms,-0.143297
można,drawer,action_words,furniture_rooms,-0.190505
można,dryer,action_words,furniture_rooms,-0.21484
można,garage,action_words,furniture_rooms,-0.157309
można,kitchen,action_words,furniture_rooms,-0.175573
można,oven,action_words,furniture_rooms,-0.084222
można,porch,action_words,furniture_rooms,-0.210139
można,potty,action_words,furniture_rooms,0.002612
można,refrigerator,action_words,furniture_rooms,-0.119707
można,room,action_words,furniture_rooms,0.004689
można,shower,action_words,furniture_rooms,-0.025385
można,sink,action_words,furniture_rooms,0.168399
można,sofa,action_words,furniture_rooms,-0.203753
można,stairs,action_words,furniture_rooms,-0.144033
można,stove,action_words,furniture_rooms,-0.237136
można,table,action_words,furniture_rooms,0.016025
można,TV,action_words,furniture_rooms,-0.137486
można,window,action_words,furniture_rooms,-0.072984
można,backyard,action_words,outside,-0.136213
można,cloud,action_words,outside,-0.165208
można,flag,action_words,outside,-0.185631
można,flower,action_words,outside,-0.265359
można,garden,action_words,outside,-0.186775
można,grass,action_words,outside,-0.167143
można,hose,action_words,outside,-0.186817
można,ladder,action_words,outside,-0.182992
można,moon,action_words,outside,-0.260718
można,pool,action_words,outside,-0.032718
można,rain,action_words,outside,-0.038087
można,rock,action_words,outside,-0.224375
można,roof,action_words,outside,-0.26665
można,sandbox,action_words,outside,0.073721
można,shovel,action_words,outside,-0.004746
można,sidewalk,action_words,outside,-0.111102
można,sky,action_words,outside,-0.088939
można,slide,action_words,outside,0.129904
można,snow,action_words,outside,-0.174673
można,snowman,action_words,outside,-0.309937
można,sprinkler,action_words,outside,-0.210316
można,star,action_words,outside,-0.314922
można,stick,action_words,outside,0.338258
można,stone,action_words,outside,-0.265501
można,street,action_words,outside,-0.223244
można,sun,action_words,outside,-0.181602
można,swing,action_words,outside,0.134433
można,tree,action_words,outside,-0.260057
można,wind,action_words,outside,-0.021953
można,beach,action_words,places,-0.091557
można,camping,action_words,places,-0.110917
można,circus,action_words,places,-0.270142
można,country,action_words,places,0.014935
można,downtown,action_words,places,-0.000414
można,farm,action_words,places,-0.189384
można,home,action_words,places,-0.005411
można,house,action_words,places,-0.149516
można,movie,action_words,places,-0.013372
można,outside,action_words,places,0.142297
można,park,action_words,places,-0.225834
można,party,action_words,places,-0.062489
można,picnic,action_words,places,-0.030771
można,playground,action_words,places,-0.168169
można,school,action_words,places,-0.095989
można,store,action_words,places,0.111684
można,woods,action_words,places,-0.188966
można,work,action_words,places,0.52694
można,yard,action_words,places,-0.149944
można,zoo,action_words,places,-0.273942
można,aunt,action_words,people,-0.141793
można,baby,action_words,people,-0.143785
można,babysitter,action_words,people,-0.108453
można,boy,action_words,people,-0.264272
można,brother,action_words,people,-0.142307
można,child,action_words,people,-0.144252
można,clown,action_words,people,-0.21826
można,cowboy,action_words,people,-0.240742
można,doctor,action_words,people,-0.032156
można,fireman,action_words,people,-0.308501
