item_definition,itemID,category,diminutive
(nie) da się,item_541,action_words,
(nie) można,item_543,action_words,
(nie) trzeba,item_544,action_words,
(nie) wolno,item_545,action_words,
(nie)grzeczny,item_398,descriptive_words (adjectives),
a,item_662,connecting_words,
albo,item_663,connecting_words,
ale,item_664,connecting_words,
aparat/kamera,item_235,household,
apteka,item_313,places,
auto/samochód,item_56,vehicles,
autobus,item_57,vehicles,
babcia,item_331,people,
bajka,item_136,toys,
balkon,item_204,furniture_rooms,
balonik,item_137,toys,
bam/bum/bęc,item_9,sounds,
banan,item_70,food_drink,
baran,item_13,animals,
bardzo,item_590,quantifiers,
barszcz,item_71,food_drink,
batonik,item_72,food_drink,yes
bawić się,item_424,action_words,
bać się,item_423,action_words,
bałwan,item_283,outside,
be,item_377,descriptive_words (adjectives),
bez (np. bez czapki),item_647,prepositions,
biały,item_378,descriptive_words (adjectives),
biec/biegać,item_426,action_words,
biedronka,item_14,animals,
bić,item_425,action_words,
blisko,item_551,locations,
bluzka,item_154,clothing,
bo,item_665,connecting_words,
bocian,item_15,animals,
boleć,item_427,action_words,
boso/na bosaka,item_410,descriptive_words (adverbs),
brat,item_332,people,
broda,item_178,body_parts,
brrum brrum [auto],item_10,sounds,
brudny,item_379,descriptive_words (adjectives),
brzuch,item_179,body_parts,
brzydki,item_380,descriptive_words (adjectives),
brzydko,item_411,descriptive_words (adverbs),
budować,item_428,action_words,
budyń,item_73,food_drink,
buraczki,item_75,food_drink,yes
burza,item_285,outside,
butelka,item_236,household,
buty,item_155,clothing,
buzia,item_180,body_parts,
bułka,item_74,food_drink,
być (jest),item_429,action_words,
błoto,item_284,outside,
cacy/cacany,item_381,descriptive_words (adjectives),
całować,item_430,action_words,
cały,item_589,quantifiers,
cebula,item_76,food_drink,
chcieć,item_431,action_words,
chleb,item_77,food_drink,
chmura,item_287,outside,
chodzić (chodź),item_432,action_words,
chory,item_382,descriptive_words (adjectives),
chrupki,item_78,food_drink,
chustka,item_156,clothing,
chyba,item_639,modal_adverbs,
chłopiec,item_333,people,
ciastko,item_80,food_drink,
ciasto,item_79,food_drink,
cicho,item_412,descriptive_words (adverbs),
ciemno,item_413,descriptive_words (adverbs),
ciepło,item_414,descriptive_words (adverbs),
ciepły,item_383,descriptive_words (adjectives),
cieszyć się,item_434,action_words,
ciocia,item_334,people,
ciąć,item_433,action_words,
ciężarówka,item_58,vehicles,
ciężki,item_384,descriptive_words (adjectives),
co?,item_627,question_words,
co robi?,item_628,question_words,
co to?/co to jest?,item_626,question_words,
coś,item_618,pronouns_demonstrative,
cukier,item_81,food_drink,
cukierek,item_82,food_drink,
czajnik,item_237,household,
czapka,item_157,clothing,
czarny,item_385,descriptive_words (adjectives),
czasem,item_571,time_words,
czekać,item_435,action_words,
czekolada,item_83,food_drink,
czerwony,item_386,descriptive_words (adjectives),
czesać,item_436,action_words,
cześć,item_358,games_routines,
czoło,item_181,body_parts,
czyj?,item_630,question_words,
czysty,item_387,descriptive_words (adjectives),
