uni_lemma,norwegian_word,norwegian_category,norwegian_gloss,english_word,english_category,polish_word,polish_category,polish_gloss
airplane,fly,vehicles,plane,aeroplane / plane,vehicles,placeholder,placeholder,placeholder
all,alle,quantifiers,all of them,all,prepositions,placeholder,placeholder,placeholder
all gone,borte,descriptive_words,away,all gone,descriptive_words,placeholder,placeholder,placeholder
animal,dyr,animals,animals,animal,animals,placeholder,placeholder,placeholder
another,en annen,quantifiers,another one,another,prepositions,placeholder,placeholder,placeholder
apple,eple,food_drink,apple,apple,food_drink,placeholder,placeholder,placeholder
arm,arm,body_parts,arm,arm,body_parts,placeholder,placeholder,placeholder
aunt,tante,people,Aunt,aunt,people,placeholder,placeholder,placeholder
away,bort,locations,away,away,prepositions,placeholder,placeholder,placeholder
away,borte,locations,away,away,prepositions,placeholder,placeholder,placeholder
away,vekk,locations,away,away,prepositions,placeholder,placeholder,placeholder
baa baa,bææ,sounds,bææ,baa baa,sounds,placeholder,placeholder,placeholder
baby,baby,people,baby,baby,people,placeholder,placeholder,placeholder
bad,dårlig,descriptive_words,bad,bad,descriptive_words,placeholder,placeholder,placeholder
bad,frekk,descriptive_words,rude,bad,descriptive_words,placeholder,placeholder,placeholder
ball,ball,toys,prom,ball,toys,placeholder,placeholder,placeholder
balloon,ballong,toys,balloon,balloon,toys,placeholder,placeholder,placeholder
banana,banan,food_drink,banana,banana,food_drink,placeholder,placeholder,placeholder
bath,bade,games_routines,bathing,bath,games_routines,placeholder,placeholder,placeholder
bathroom,bad,furniture_rooms,bathroom,bathroom,furniture_rooms,placeholder,placeholder,placeholder
bathtub,badekar,furniture_rooms,bathtub,bath / bathtub,clothing,placeholder,placeholder,placeholder
beach,strand,places,beach,beach,outside,placeholder,placeholder,placeholder
bear,bjørn,animals,Bears,bear,animals,placeholder,placeholder,placeholder
bed,seng,furniture_rooms,bed,bed,furniture_rooms,placeholder,placeholder,placeholder
bedroom,soverom,furniture_rooms,bedroom,bedroom,furniture_rooms,placeholder,placeholder,placeholder
belly button,navle,body_parts,belly button,belly button / tummy button,body_parts,placeholder,placeholder,placeholder
bib,smekke,clothing,bib,bib,clothing,placeholder,placeholder,placeholder
bicycle,sykkel,vehicles,bicycle,bicycle / bike,vehicles,placeholder,placeholder,placeholder
big,stor,descriptive_words,large,big,descriptive_words,placeholder,placeholder,placeholder
bird,fugl,animals,bird,bird,animals,placeholder,placeholder,placeholder
bite,bite,action_words,bite,bite,action_words,placeholder,placeholder,placeholder
blanket,dyne,household,duvet,blanket,household,placeholder,placeholder,placeholder
blanket,teppe,household,blanket,blanket,household,placeholder,placeholder,placeholder
blocks,klosser,toys,bricks,block / brick,toys,placeholder,placeholder,placeholder
blocks,lego,toys,Lego,block / brick,toys,placeholder,placeholder,placeholder
blow,blåse,action_words,blow,blow,action_words,placeholder,placeholder,placeholder
blue,blå,descriptive_words,blue,blue,descriptive_words,placeholder,placeholder,placeholder
boat,båt,vehicles,boat,boat,vehicles,placeholder,placeholder,placeholder
book,bok,toys,book,book,toys,placeholder,placeholder,placeholder
bottle,flaske,household,bottle,bottle,household,placeholder,placeholder,placeholder
bowl,skål,household,Cheers,bowl,household,placeholder,placeholder,placeholder
box,boks,household,box,box,household,placeholder,placeholder,placeholder
box,eske,household,box,box,household,placeholder,placeholder,placeholder
box,kasse,household,Checkout,box,household,placeholder,placeholder,placeholder
boy,gutt,people,boy,boy,people,placeholder,placeholder,placeholder
bread,brød,food_drink,loaf of bread,bread,food_drink,placeholder,placeholder,placeholder
break,ødelegge,action_words,tear up,break,action_words,placeholder,placeholder,placeholder
breakfast,frokost,games_routines,breakfast,breakfast,games_routines,placeholder,placeholder,placeholder
broken,ødelagt,descriptive_words,destroyed,broken,descriptive_words,placeholder,placeholder,placeholder
broom,kost,household,costly,broom,household,placeholder,placeholder,placeholder
brother,bror,people,brother,brother,people,placeholder,placeholder,placeholder
brush (object),børste,household,brush,brush,household,placeholder,placeholder,placeholder
bubbles,såpebobler,toys,soap bubbles,bubble,toys,placeholder,placeholder,placeholder
bucket,bøtte,household,bucket,bucket,outside,placeholder,placeholder,placeholder
bunny,kanin,animals,rabbit,bunny / rabbit,animals,placeholder,placeholder,placeholder
bus,buss,vehicles,coach,bus,vehicles,placeholder,placeholder,placeholder
butter,smør,food_drink,butter,butter,food_drink,placeholder,placeholder,placeholder
butterfly,sommerfugl,animals,butterfly,butterfly,animals,placeholder,placeholder,placeholder
button,knapper,clothing,Buttons,button,clothing,placeholder,placeholder,placeholder
bye,ha det,games_routines,bye bye,bye bye,games_routines,placeholder,placeholder,placeholder
cake,kake,food_drink,cake,cake,food_drink,placeholder,placeholder,placeholder
call,ringe,games_routines,call,call,action_words,placeholder,placeholder,placeholder
car,bil,vehicles,car,car,vehicles,placeholder,placeholder,placeholder
careful,forsiktig,descriptive_words,careful,careful,descriptive_words,placeholder,placeholder,placeholder
carrot,gulrot,food_drink,carrot,carrot,food_drink,placeholder,placeholder,placeholder
