english,polish,alternatives
00databasealphabet,abcdefghijklmnopqrstuvwxyzâèéêï,
00databasedictfmt1130,00-database-dictfmt-1.13.0,
00databaseinfo,"'
     (km","* a separate item is extending the dictionary with an xml
     representation of idarexen (described in a paper by bański and
     moszczyński|* added non-diacritic versions to headwords with diacritics|* anchored some of the pos values in the freedict interface to
     gold|* converted codes into letters with diacritics in utf-8"
00databaseshort,english - polish piotrowski+saloni,freedict dictionary ver. 0.2
00databaseurl,unknown,
aa,automobilklub,"i.
   see also: {alcoholics anonymous}
  anonimowi alkoholicy
ii.
   see also: {automobile association}
  związek automobilowy|ˌ$⋅$ˈ$⋅$"
aaa,amerykański automobilklub,amerykański związek automobilowy|ˌ$⋅⋅$ˈ$⋅$
aardvark,mrównik,ˈaːdvaːk
abacus,liczydło,ˈæbəkəs
abandon,1.  zostawiać,"opuszczać
 2.  zaprzestawać
 3.  rzucać
 4.  oddawać 
 5.  with abandon 
 - beztrosko|əˈbændən"
abandonment,"1.  opuszczenie
 2.  zaprzestanie",əˈbændənmənt
abashed,zakłopotany,əˈbæʃt
abate,zelżeć,əˈbeɪt
abattoir,rzeźnia,ˈæbətʊɑ:
abbess,przeorysza,ˈæbɪs
abbey,klasztor,opactwo|ˈæbɪ
abbot,opat,ˈæbət
abbreviate,skracać,əˈbri:vɪeɪt
abbreviated,skrócony,əˈbri:vɪeɪtɪd
abbreviation,skrót,əˌbri:vɪˈeɪʃən
abc,biological,"biologiczna|chemical}
  atomowa|chemiczna|i.   1.  alfabet
 2.  abc
 3.  elementarz
ii.
   see also: {american broadcasting company}
  amerykańska korporacja nadawcza
iii.
   see also: {australian broadcasting company}
  australijska korporacja nadawcza
iv.
   see also: {atomic"
abdicate,"1.  abdykować
 2.  zrzekać się",wyrzekać się|ˈæbdɪkeɪt
abdication,"1.  abdykacja
 2.  odrzucenie",ˌæbdɪˈkeɪʃən
abdomen,brzuch,ˈæbdəmən
abdominal,brzuszny,æbˈdɒmɪnəl
abduct,uprowadzać,æbˈdʌkt
abduction,uprowadzenie,æbˈdʌkʃən
aberration,zboczenie,ˌæbəˈreɪʃən
abet,wspomagać  [coś złego],əˈbet
abhor,nie cierpieć,əbˈhɔ:
abhorrence,nienawiść,əbˈhɒrəns
abhorrent,znienawidzony,əbˈhɒrənt
abide,"i.   1.  trwać
 2.  cannot abide 
 - nie znosić
ii.  abide by   stosować się do",əˈbaɪd
abiding,długotrwały,əˈbaɪdɪŋ
ability,1.  zdolność,"abilities 
 - jak najlepiej można|możliwość
 2.  to the best of one's ability|əˈbɪlɪtɪ"
abject,"1.  okropny
 2.  nędzny",ˈæbʤekt
ablaze,"1.  w płomieniach
 2.  rozświetlony",əˈbleɪz
able,"1.  zdolny
 2.  be able to 
 - móc",ˈeɪbəl
ablebodied,able-bodied,dobrze zbudowany|ˌeɪbəl ˈbɒdɪd
ably,znakomicie,ˈeɪblɪ
abnormal,nienormalny,æbˈnɔ:məl
abnormality,nieprawidłowość,ˌæbnɔ:ˈmælɪtɪ
abnormally,"1.  niezwykle
 2.  nienormalnie",æbˈnɔ:məlɪ
aboard,"1.  na pokładzie
 2.  wewnątrz  [pojazdu]",əˈbɔ:d
abode,miejsce zamieszkania,əˈbəʊd
abolish,obalić,əˈbɒlɪʃ
abolition,obalenie,ˌæbəˈlɪʃən
abomb,a-bomb,bomba atomowa|ˈeɪbɒm
abominable,"i.    straszny
ii.  abominable snowman   yeti",əˈbɒmɪnəbəl
abominably,okropnie,əˈbɒmɪnəblɪ
abort,i.   1.  poronić,"przerwanie zadania|przerwać ciążę
 2.  przerwać [przed zakończeniem]
ii.    [komp]  abort|əˈbɔ:t"
abortion,aborcja,poronienie|əˈbɔ:ʃən
abortive,nieskuteczny,əˈbɔ:tɪv
abound,być w obfitości,obfitować|əˈbaʊnd
about,"1.  o
 2.  z
 3.  około
 4.  wokoło
 5.  be about 
 - istnieć","być dostępnym
 6.  be about to do sth 
 - mieć coś zrobić|zamierzać coś zrobić|əˈbaʊt"
aboutturn,"1.  zwrot w tył
 2.  zmiana poglądów na przeciwne",about-turn|əˌbaʊtˈtɜ:n
above,"i.    ponad
ii.   1.  wyżej
 2.  powyżej
iii.    nad
iv.   the above  powyższe
v.  above board",uczciwy|əˈbʌv|əˈbʌv bɔ:d
abrasion,otarcie,əˈbreɪʒən
abrasive,"1.  szorstki
 2.  ścierny",əˈbreɪsɪv
abreast,"1.  w szeregu
 2.  keep abreast  )
 - być na bieżąco z czymś",być na bieżąco|əˈbrest
abridged,skrócony,əˈbrɪʤd
abroad,za granicą,za granicę|əˈbrɔ:d
abrupt,1.  nagły,"raptowny
 2.  ostry|əˈbrʌpt"
abruptly,1.  nagle,"raptownie
 2.  ostro|əˈbrʌptlɪ"
abscess,ropień,ˈæbses
abscond,uciec,əbˈskɒnd
absence,"1.  nieobecność
 2.  brak",ˈæbsəns
absent,"1.  nieobecny
 2.  nieuważny",ˈæbsənt
absentee,ktoś nieobecny,nieobecny|osoba nieobecna|ˌæbsənˈti:
absently,nieuważnie,ˈæbsəntlɪ
absentminded,absent-minded,roztargniony|ˌæbsənt ˈmaɪndɪd
absentmindedly,absent-mindedly,przez roztargnienie|ˌæbsənt ˈmaɪndɪdlɪ
absolute,"i.   1.  całkowity
 2.  zupełny
 3.  absolutny
ii.    absolut",ˈæbsəlu:t
absolutely,"1.  zupełnie
 2.  dokładnie tak",ˈæbsəlu:tlɪ
absolution,rozgrzeszenie,ˌæbsəˈlu:ʃən
absolve,"1.  rozgrzeszać
 2.  oczyszczać",əbˈzɒlv
absorb,"1.  wchłaniać
 2.  absorbować
 3.  przyswajać",əbˈsɔ:b
absorbent,wchłaniający,əbˈsɔ:bənt
absorbing,[książka]  pasjonujący,əbˈsɔ:bɪŋ
absorption,"1.  zainteresowanie
 2.  wchłanianie",əbˈsɔ:pʃən
abstain,wstrzymywać się,əbˈsteɪn
abstemious,wstrzemięźliwy,əbˈsti:mɪəs
abstention,wstrzymanie się,wstrzymanie się od głosu|əbˈstenʃən
abstinence,abstynencja,ˈæbstɪnəns
abstract,"abstract
i.   1.  abstrakcyjny
 2.  oderwany
ii.    streszczenie
iii.   1.  streszczać
 2.  [treść]  wyciągnąć",
abstracted,wyobcowany,æbˈstræktɪd
abstraction,"1.  abstrakcja
 2.  wyobcowanie",æbˈstrækʃən
absurd,absurdalny,groteskowy|əbˈsɜ:d
absurdity,absurd,əbˈsɜ:dɪtɪ
abundance,obfitość,əˈbʌndəns
abundant,obfity,əˈbʌndənt
abundantly,"1.  niezwykle
 2.  obficie",əˈbʌndəntlɪ
abuse,"abuse
i.   1.  nadużywać
 2.  [przeklinać]  obrzucać wymysłami
 3.  [źle traktować]  znęcać się 
ii.   1.  [przekleństwa]  wymysły
 2.  [nad kimś]  znęcanie się
 3.  [władzy]  nadużycie
 4.  [alkoholu]  nadużywanie",
abusive,obraźliwy,əˈbju:sɪv
abysmal,nędzny,okropny|əˈbɪzməl
abyss,"1.  otchłań
 2.  przepaść",əˈbɪs
ac,a,"c
i.
   see also: {account}
  konto
ii.
   see also: {air conditioning}
  klimatyzacja|prąd zmienny|ˌ$⋅$ˈ$⋅$"
academic,"i.   1.  naukowy
 2.  uniwersytecki
 3.  akademicki
 4.  zdolny
ii.    nauczyciel akademicki",naukowiec|ˌækəˈdemɪk
academy,akademia,əˈkædəmɪ
accede,przychylać się,əkˈsi:d
accelerate,przyspieszać,əkˈseləreɪt
acceleration,przyspieszenie,əkˌseləˈreɪʃən
accelerator,"1.  akcelerator
 2.  [w samochodzie]  pedał gazu",əkˈseləreɪtə
accent,"accent
i.   1.  dialekt","akcent
 2.  akcent
 3.  nacisk
ii.    akcentować"
accentuate,kłaść nacisk na,əkˈsenʧʊeɪt
accept,1.  przyjmować,"uznawać
 2.  pogodzić się 
 3.  akceptować|əkˈsept"
acceptable,1.  uznawalny,"akceptowalny
 2.  do przyjęcia|əkˈseptəbəl"
acceptance,"1.  przyjęcie
 2.  potwierdzenie przyjęcia 
 3.  akceptacja
 4.  zgoda na
 5.  pogodzenie się",əkˈseptəns
access,"i.   1.  [form]  dojście 
 2.  dostęp 
ii.    [informacje z komputera]  wydobywać",ˈækses
accessible,"1.  dostępny
 2.  [łatwy]  dostępny",əkˈsesəbəl
accession,akcesja,əkˈseʃən
accessory,1.  akcesoria,"wyposażenie
 2. accessories  [do stroju]  dodatki
 3.  [przestępstwa]  wspólnik|əkˈsesərɪ"
accident,"1.  przypadek
 2.  wypadek",ˈæksɪdənt
accidental,przypadkowy,ˌæksɪˈdentəl
accidentprone,accident-prone,podatny na wypadki|ˈæksɪdəntprəʊn
acclaim,"i.    wychwalać
ii.    aplauz",əˈkleɪm
acclimatize,"1.  aklimatyzować się
 2.  przywykać",əˈklaɪmətaɪz
accolade,uznanie,ˈækəleɪd
accommodate,"1.  przyjmować
 2.  wychodzić naprzeciw
 3.  pomieścić",zakwaterować|əˈkɒmədeɪt
accommodating,uczynny,əˈkɒmədeɪtɪŋ
accommodation,miejsce  [zamieszkania,w hotelu]|əˌkɒməˈdeɪʃən
accompaniment,"1.  akompaniament
 2.  dodatek",əˈkʌmpənɪmənt
accompanist,akompaniator,əˈkʌmpənɪst
accompany,"1.  towarzyszyć
 2.  akompaniować",əˈkʌmpənɪ
accomplice,[przestępstwa]  wspólnik,əˈkʌmplɪs
accomplish,dokonać,əˈkʌmplɪʃ
accomplished,znakomity,əˈkʌmplɪʃt
accomplishment,"1.  zdolność
 2.  dokonanie
 3.  spełnienie
 4.  wyczyn",əˈkʌmplɪʃmənt
accord,"1.  dawać
 2.  [form]  korespondować","zgadzać się 
 3.  of one's own accord 
 - z własnej woli
 4.  in accord 
 - w zgodzie|əˈkɔ:d"
accordance,"in accordance with  :in :accordance :with)
 - zgodnie z",əˈkɔ:dəns
according to,według,zgodnie z|əˈkɔ:dɪŋ tə
accordingly,odpowiednio,wedle zasługi|əˈkɔ:dɪŋlɪ
accordion,akordeon,əˈkɔ:dɪən
accost,zaczepić,əˈkɒst
account,i.   1.  sprawozdanie,"opis 
 2. accounts  rachunki księgowe
 3.  konto
 4.  rachunek
 5.  *take sth into account|take account of sth* 
 - brać coś pod uwagę
 6.  on account of 
 - z powodu|z przyczyny
 7.  on no account 
 - pod żadnym pozorem
 8.  of no account 
 - bez znaczenia
ii.  account for  1.  wytłumaczyć się
 2.  składać się|əˈkaʊnt"
accountability,odpowiedzialność,əˌkaʊntəˈbɪlɪtɪ
accountable,odpowiedzialny,əˈkaʊntəbəl
accountancy,księgowość,əˈkaʊntənsɪ
accountant,księgowy,əˈkaʊntənt
accredited,"1.  akredytowany 
 2.  uznawany",əˈkredɪtɪd
acct,"acct.
  konto",
accumulate,gromadzić,əˈkju:mjəleɪt
accumulation,"1.  nagromadzenie
 2.  akumulacja",əˌkju:mjəˈleɪʃən
accuracy,"1.  dokładność
 2.  staranność",skrupulatność|ˈækjərəsɪ
accurate,"1.  wierny
 2.  dokładny",ˈækjərət
accusation,oskarżenie,ˌækju:ˈzeɪʃən
accuse,"1.  obwiniać 
 2.  oskarżać",əˈkju:z
accused,oskarżony,əˈkju:zd
accusing,oskarżycielski,əˈkju:zɪŋ
accustom,przyzwyczajać,əˈkʌstəm
accustomed,1.  zwykły,"normalny
 2.  be accustomed  :accustomed :to [np | vbg])
 - być przyzwyczajonym|əˈkʌstəmd"
ace,eɪs,"i.    as
ii.    [nieform]  wyborowy|wyborny"
ache,eɪk,"i.    ból
ii.   1.  [o części ciała albo całym ciele]  boleć   
 2.  mieć ochotę"
achieve,osiągać,əˈʧi:v
achievement,1.  osiągnięcie,"wyczyn
 2.  spełnienie|əˈʧi:vmənt"
acid,"i.   1.  kwas
 2.  lsd
ii.   1.  kwasowy
 2.  kwaśny
 3.  jadowity
iii.  an acid test   papierek lakmusowy",ˈæsɪd
acidic,kwasowy,əˈsɪdɪk
acidity,"1.  kwasowość
 2.  jadowitość",əˈsɪdɪtɪ
ack,"ack.
  potwierdzony",
acknowledge,"1.  przyznawać 
 2.  uznawać   
 3.  witać 
 4.  potwierdzać
 5.  odpowiadać",əkˈnɒlɪʤ
acknowledgement,"1.  przyznanie się 
 2.  uznanie
 3.  pozdrowienie
 4.  potwierdzenie
 5. acknowledgements  podziękowania",əkˈnɒlɪʤmənt
acne,trądzik,ˈæknɪ
acorn,żołądź,ˈeɪkɔ:n
acoustic,akustyczny,əˈku:stɪk
acoustics,akustyka,əˈku:stɪks
acquaint,zaznajamiać się,əˈkweɪnt
